id,item_id,category,item_name,item_condition,price,hot,bid_count,bidder,bid,pic
4,11955674,手机通讯,"三星 Galaxy S4 (I9507V) 黑色 联通4G手机",维修过,Null,8749次,50,****c7d7,663.00,http://img14.360buyimg.com/n1/g14/M07/1E/05/rBEhVVM-jYkIAAAAAAGJUyERKhAAALYRQAaHPYAAYlr803.jpg
5,11955593,五花八门,Nestle雀巢咖啡杯经典红杯,使用过,19.9,378次,3,****02星星,9.00,http://img14.360buyimg.com/n1/jfs/t2026/62/1914155498/350095/3e1d0d67/5683a6e9N499d5145.jpg
6,11955429,五花八门,"小米（MI）小米智能手环 光感版 心率手环",使用过,99,577次,14,****5200,78.00,http://img14.360buyimg.com/n1/jfs/t2131/35/1058637457/238001/249d2014/5641d81fN083d591a.jpg
7,11955390,电脑整机,"ThinkPad 原装笔记本电脑双肩背包（0A33911）适合15.6英寸及以下电脑",使用过,99,3577次,29,****9355,48.00,http://img14.360buyimg.com/n1/g15/M07/15/14/rBEhWFKDMaEIAAAAAAGLdoj5sqsAAFbyQPtL2QAAYuO343.jpg
8,11955814,电脑配件,"技嘉（GIGABYTE）B85M-D3H主板 (Intel B85/LGA 1150)",维修过,499,5238次,37,****2589,327.00,http://img14.360buyimg.com/n1/jfs/t652/111/1145249771/332878/e912799f/54b60ec9N10be6970.jpg
9,11955775,电脑配件,"技嘉（GIGABYTE）B85M-D3H主板 (Intel B85/LGA 1150)",维修过,499,4637次,10,****达,335.00,http://img14.360buyimg.com/n1/jfs/t652/111/1145249771/332878/e912799f/54b60ec9N10be6970.jpg
10,11955670,奢侈品,"Ray-Ban 雷朋 亚洲版徒步旅行者系列黑色镜框墨绿色镜片眼镜太阳镜 RB 2140F 901 54mm",使用过,896,1426次,25,****黄波哥哥,334.00,http://img14.360buyimg.com/n1/jfs/t199/56/2228354072/42114/1242dcfb/53cc7bc1Nd00f4bfd.jpg
11,11956140,时尚影音,"森海塞尔（Sennheiser） MX375 手机耳机 立体声耳塞 强劲低音 黑色",维修过,189,1083次,13,****dcxy,76.00,http://img14.360buyimg.com/n1/g3/M01/06/0B/rBEGFFAM8KwIAAAAAADvF1Epw5IAABPagI8w1oAAO8v505.jpg
12,11956865,厨房电器,飞利浦（PHILIPS）电水壶304不锈钢PTC保温1.7升HD9316/03,使用过,239,913次,16,****8001,133.00,http://img14.360buyimg.com/n1/g7/M03/09/0B/rBEHZlCA0CgIAAAAAAEofNTGeHwAAB02gH4zB8AASiU853.jpg
13,11955893,五花八门,"【黑色】小米（MI）小米智能手环 光感版 心率手环",使用过,99,1340次,17,****恺,69.00,http://img14.360buyimg.com/n1/jfs/t2131/35/1058637457/238001/249d2014/5641d81fN083d591a.jpg
14,11956944,手机通讯,"联想(Lenovo) A360e 深邃黑 电信3G手机",使用过,129,4718次,13,****好的好的,73.00,http://img14.360buyimg.com/n1/jfs/t1012/272/666149277/141197/d337657d/55375efdNa1516f92.jpg
15,11956499,时尚影音,"Beats PowerBeats2 Wireless 入耳式耳机 - Active Collection 系列 （荧光黄） 运动耳机 蓝牙无线 带麦",使用过,1098,3910次,14,****航空母舰,600.00,http://img14.360buyimg.com/n1/jfs/t2344/340/1195770241/33188/537ac0a3/5683ac98Nf7559d3c.jpg
16,11955516,电脑整机,"华为（HUAWEI）荣耀平板Wifi版 平板电脑 8英寸（四核 1G/8G Wifi）月光银",维修过,799,5381次,22,****ilgr,460.00,http://img14.360buyimg.com/n1/jfs/t1861/230/2108670163/2668318/b4b5f8b2/56f392c5Nddac6315.jpg
17,11956800,五花八门,"好奇 Huggies 金装 婴儿纸尿裤 中号M162片【7-11kg】",未使用,244,1928次,5,****y小仙子,181.00,http://img14.360buyimg.com/n1/jfs/t1864/99/1303493340/82226/807b17aa/56935de7Nefc30ae6.jpg
18,11956152,五花八门,"X3 蓝牙音箱",使用过,Null,1494次,3,****6175,4.00,http://img14.360buyimg.com/n1/jfs/t289/64/1303015312/219155/dac87ddc/54365e0eN079846a1.jpg
19,11955737,电脑整机,"ThinkPad 0B47153 USB光电鼠标",使用过,39.9,1972次,20,****袍,21.00,http://img14.360buyimg.com/n1/g14/M03/07/0B/rBEhVVHx14EIAAAAAAC0dEydpYIAABb0wNyFmcAALSM803.jpg
20,11956339,时尚影音,"森海塞尔（Sennheiser） PX80 头戴式可折叠耳机 黑色",使用过,299,1361次,39,****DeAn,129.00,http://img14.360buyimg.com/n1/g16/M00/0C/06/rBEbRlOH5FYIAAAAAAEgsTfDhKwAACYDwCIQFsAASDJ553.jpg
21,11955544,奢侈品,"Minnetonka 迷你唐卡 女士粉色帆布鞋休闲平底鞋 232 5/36",使用过,299,1339次,8,****夕乄何夕,79.00,http://img14.360buyimg.com/n1/jfs/t1450/46/285400239/136035/e1ff9411/5571532aN4997a134.jpg
22,11955648,手机通讯,"三星 Galaxy A5 (A5009) 雪域白 电信4G手机 双卡双待",维修过,1268,5544次,13,****抬高价格,922.00,http://img14.360buyimg.com/n1/jfs/t1087/293/682687775/133362/de7dc7a6/553c3a12N01008e37.jpg
23,11955012,手机通讯,"Apple iPhone 6s (A1700) 16G 银色 移动联通电信4G手机",使用过,4788,9991次,66,****天天拍拍,4003.00,http://img14.360buyimg.com/n1/jfs/t1750/358/1521618161/94974/710d9a9a/55f0e7d7N34623c97.jpg
24,11956461,五花八门,"小米（MI）小米蓝牙游戏手柄 无线蓝牙游戏手柄 双马达振动摇杆智能游戏手柄",使用过,99.9,2007次,17,****2,55.00,http://img14.360buyimg.com/n1/jfs/t1144/160/1193153167/52664/56c30c3/557fc885N4b2681af.jpg
25,11955735,外设产品,"罗技（Logitech）G302 电竞游戏鼠标",使用过,249,5468次,28,****olop,145.00,http://img14.360buyimg.com/n1/jfs/t1984/350/2149493378/133776/222941cd/56c29077N5c2e9d03.jpg
26,11955054,奢侈品,MontBlanc万宝龙男士经典系列抛光椭圆形扣针皮带/腰带38157,维修过,1680,980次,36,****24c5,1001.00,http://img14.360buyimg.com/n1/g13/M0A/02/14/rBEhUlHxzgsIAAAAAAFdD_qxLmsAABaIwGYZz0AAV0n850.jpg
27,11954919,手机通讯,"小米 Note 顶配版 全网通 香槟金 移动联通电信4G手机 双卡双待",维修过,2599,7369次,45,****jane,1701.00,http://img14.360buyimg.com/n1/jfs/t1156/352/967534680/58789/9b8abdc2/55656b31N61560a65.jpg
28,11955906,办公文仪,"麦克赛尔（maxell）DVD-RW 2速 4.7G 台产 单片装 可反复擦写 刻录盘",未使用,9,3652次,2,****精,3.00,http://img14.360buyimg.com/n1/g5/M02/14/09/rBEIDE__2mUIAAAAAAK32pa-OlUAAD9qQJbIjsAArfy341.jpg
29,11955317,五花八门,"小米（MI）小米手环腕带 橙色",使用过,19.9,449次,11,****8888,12.00,http://img14.360buyimg.com/n1/jfs/t1045/324/1023310134/58110/f4ca36e3/556d21d8Neb9f5a7e.jpg
30,11955946,外设产品,"罗技（Logitech）G402 高速追踪游戏鼠标",维修过,279,5138次,27,****x密麻麻,139.00,http://img14.360buyimg.com/n1/jfs/t217/235/780207740/62489/3ffe774a/53f157f7N94e24338.jpg
31,11956321,时尚影音,"Beats Solo2 Wireless 头戴式耳机 - 金色  蓝牙无线 带麦",使用过,Null,3842次,20,****bfd1,983.00,http://img14.360buyimg.com/n1/jfs/t2278/209/1885658020/152837/d82a872c/568b848fN06f6a923.jpg
32,11956215,奢侈品,"VICTORIA'S SECRET 维多利亚的秘密女士蓝色波点时尚文胸 343435 BF8 32B",使用过,299,2892次,5,****0726,88.00,http://img14.360buyimg.com/n1/jfs/t1870/237/1593736167/79970/71fe7a07/56cc01c5Ne4d3ea53.jpg
